OLOMBO,,1.3148,1.2159,1.2591,1.8051,1.4571,1.7097,1.0912,0.6697,1.1027,1.1710,0.2314,1.0697,1.1710,2.0481,1.3164,1.6983,1.5402,1.5629,1.9698,1.2478,1.2869,1.0288,1.2705,1.9222,0.8767,0.5421,1.1812,1.1415
HAMPAHA,,1.3355,1.2759,1.2591,1.8160,1.3741,1.7097,1.0912,0.6697,0.3956,0.4672,0.1232,0.9684,0.8354,2.0455,1.1536,1.5670,1.4289,1.4590,1.8747,1.2728,1.2593,1.0215,1.2686,1.9961,0.9018,0.5642,1.2055,1.1482
ALUTARA,,1.3144,1.2993,1.2591,1.7039,1.5565,1.7097,1.0912,0.6697,0.8229,0.8747,0.5218,1.0595,1.2241,2.0560,1.2986,1.6458,1.5413,1.5900,1.9138,1.2294,1.2416,1.0783,1.3111,1.9233,0.8690,0.7297,1.2078,1.2117
AATALE,,1.3364,1.3359,1.2591,1.7129,1.3067,1.7097,1.0912,0.6697,1.0112,0.7659,0.5681,1.0800,0.8278,2.0039,1.2489,1.3254,1.4563,1.5183,1.9048,1.3236,1.0975,0.8920,1.2780,1.9493,0.9389,0.6595,NQC,1.5958
ANDY,,NQC,1.2688,1.2591,1.7072,1.4413,1.7097,1.0912,0.6697,1.0442,0.7393,0.5865,0.9261,0.7925,1.8855,1.1493,1.6390,1.4694,1.5028,1.7062,1.2685,1.2782,0.9673,1.3497,2.0302,0.8574,0.7592,1.2129,1.3269
,JUWARA ELIYA,1.3413,1.2609,1.2591,1.7221,1.6155,1.7097,1.0912,0.6697,1.1282,0.5186,NQC,0.8728,-0.0576,2.0535,0.6335,1.3012,1.4563,1.2798,1.6831,0.7213,0.8723,0.6082,1.0681,1.7989,1.1640,0.1790,1.2299,NQC
ALLE,,1.4449,1.2892,1.2591,1.8236,1.4901,1.7097,1.0912,0.6697,1.2613,0.6972,0.0535,1.0997,0.9833,2.1122,1.0783,1.7065,1.4443,1.6060,1.9024,1.2934,1.3176,1.0711,1.3609,1.9887,0.8983,0.6911,1.1780,1.1591
AATARA,,1.3128,1.3061,1.2591,1.8438,1.5734,1.7097,1.0912,0.6697,1.1287,1.0700,0.6811,1.0875,0.6762,2.0723,1.2718,1.7336,1.5603,1.5496,2.0100,1.3459,1.2872,1.0809,1.3502,2.0730,0.8958,0.7513,1.2019,NQC
,IAMBANTOTA,1.3197,1.2982,1.2591,1.6811,1.5549,1.7097,1.0912,0.6697,0.9159,0.6614,0.2734,1.0208,0.6245,1.9027,1.0203,1.6923,1.4689,1.6021,1.6099,1.3027,1.3374,1.1104,1.3608,1.9968,0.8662,0.8136,1.3559,1.2605
AFFNA,,NQC,1.1540,1.2591,1.3548,1.1702,1.7097,1.0912,0.6697,1.2043,NQC,0.0937,1.1080,0.9751,1.9617,1.2979,1.7388,1.3551,1.5589,1.3797,1.3509,1.2150,1.0583,1.3553,1.8949,0.9188,0.9618,1.2029,NQC
