COLOMBO,,1.6559,,1.0845,1.3305,1.0776,1.1389,1.2138,1.0934,1.7011,1.9350,0.8181,1.4331,0.4505,0.4282,1.1045,1.2020,1.3115,1.1466,2.0302,2.2594,1.9023,1.6931,1.0585,1.4153
GAMPAHA,,1.6534,,1.0934,1.3324,1.0672,1.1374,1.2094,1.0757,1.6256,1.8915,0.8056,1.4198,0.6740,0.6711,1.1069,1.2185,1.2845,1.1423,2.0519,2.2575,1.9146,1.6873,1.1511,1.3908
KALUTARA,,1.6480,,1.1722,1.3432,1.0766,1.1472,1.2399,1.0733,1.6699,1.8943,0.8846,1.4293,0.9300,0.9123,1.1074,1.2119,1.3059,1.1392,2.0287,2.2523,1.9073,1.6794,1.2266,1.3820
MATALE,,1.6926,,1.1816,1.3594,1.2354,1.2403,1.2222,1.1874,1.6552,2.0212,1.1028,NQC,NQC,NQC,1.1011,1.3209,1.3021,1.4005,2.0708,2.2375,1.9106,1.6922,1.3633,1.3976
KANDY,,1.6514,,0.9870,1.3364,0.9805,1.1482,1.2194,1.0243,1.6894,1.9352,0.9489,1.4457,1.0142,0.9851,1.1036,1.1942,1.3500,1.1435,2.0953,2.2748,1.9205,1.7525,1.0538,1.4247
,NUWARA ELIYA,1.7028,,0.9164,1.3314,0.9125,1.2403,1.2109,1.0223,1.6240,2.0122,0.8727,1.4823,0.8509,0.8014,1.2979,1.1940,1.5024,1.1323,2.0682,2.2490,2.0037,1.7607,1.1672,1.3969
GALLE,,1.6549,,1.2399,1.3448,1.2663,1.1767,1.2163,1.1782,1.6564,1.9062,1.0020,1.4506,0.7175,0.6873,1.1071,1.2103,1.3731,1.2831,2.0443,2.2330,1.9038,1.6740,1.4967,1.4452
MATARA,,1.6526,,1.3020,1.3384,1.4843,1.3418,1.3251,1.3046,1.6347,1.9476,NQC,1.4648,NQC,NQC,1.3619,1.1956,1.2998,1.1920,2.0278,2.2341,1.9567,1.6745,NQC,1.5320
,HAMBANTOTA,1.6672,,1.1762,1.3703,NQC,1.1694,1.2114,1.2055,1.6236,1.9303,1.0592,1.5426,1.0748,NQC,1.1025,1.1885,1.2959,1.1367,2.0748,2.3179,1.9451,1.6927,1.3243,1.3884
JAFFNA,,1.6823,,0.7821,NQC,1.0437,NQC,1.2638,1.0287,1.8488,2.0881,0.8051,NQC,0.4389,0.4207,1.3054,NQC,NQC,1.4436,2.0449,2.2743,1.9039,NQC,1.0821,1.3859
,KILINOCHCHI,NQC,,0.0642,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,0.0815,0.5054,NQC,NQC,1.3952,NQC,NQC,NQC,NQC,NQC,1.0748,1.5104
MANNAR,,NQC,0.,4322,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.4963,0.6483,0.6748,NQC,1.2247,1.3073,NQC,NQC,NQC,NQC,NQC,NQC,NQC
,MULLAITIVU,NQC,,0.5534,1.4436,NQC,1.1804,NQC,NQC,1.6709,NQC,NQC,NQC,0.1977,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC
VAVUNIYA,,NQC,,0.2225,NQC,0.9334,1.5407,NQC,1.0215,NQC,NQC,0.8241,NQC,0.5622,0.4994,NQC,NQC,NQC,1.1446,NQC,NQC,NQC,NQC,1.2590,NQC
,TRINCOMALEE,1.7241,,0.5950,1.5264,0.9775,NQC,1.2614,1.1551,1.6355,2.0765,0.9341,1.5564,0.6076,0.6722,1.2816,NQC,1.4643,NQC,2.1626,2.2778,1.9857,NQC,1.6671,NQC
,BATTICALOA,1.6570,,0.9831,1.6356,1.0002,1.2859,1.2088,1.0721,1.7305,1.8957,0.8730,NQC,0.9926,1.1852,1.1164,1.6174,1.4707,1.1487,2.2895,2.2707,1.9048,1.6993,NQC,1.3815
AMPARA,,1.6995,,0.7647,1.5802,0.9684,1.1709,1.2379,0.9938,1.7506,1.9967,0.9533,1.4465,1.3297,0.9778,NQC,1.2470,1.3013,1.1408,2.0736,2.4197,2.0068,1.8338,1.0832,1.3810
PUTTALAM,,1.7054,,0.6744,1.5422,0.9488,1.1810,1.2221,1.0835,1.6433,2.8457,0.8061,NQC,0.7654,0.8261,1.1188,1.1945,1.2947,NQC,2.2166,2.2483,1.9019,NQC,1.0772,1.3821
,KURUNEGALA,1.6475,,1.1684,1.3397,1.1712,1.1884,1.2134,1.2148,1.6345,2.0403,1.0150,1.4225,1.0276,1.0485,1.1157,1.1883,1.3399,1.1463,2.0660,2.3076,1.9087,1.7529,1.3026,1.3785
,ANURADHAPURA,1.6682,,0.9217,1.3960,0.9205,1.1829,1.2119,1.0047,1.6543,1.9157,0.9981,1.4193,1.0094,NQC,1.1094,1.1997,1.2827,1.1522,2.0410,2.3644,1.9023,1.6760,1.1131,1.4027
,POLONNARUWA,1.6681,,0.7440,1.4564,0.9219,NQC,1.5420,1.0262,NQC,1.9195,0.8136,NQC,0.7598,0.6787,NQC,1.3367,1.5222,1.2411,2.0605,3.1166,1.9857,NQC,1.1115,NQC
BADULLA,,1.6578,,1.1227,1.3429,1.1501,1.1399,1.2260,1.0948,1.6552,1.9126,1.1218,1.4861,1.1276,1.1268,1.1227,1.1894,1.2904,1.1403,2.0492,2.2533,1.9184,1.6766,1.1762,1.3785
,MONARAGALA,NQC,,0.7680,1.3838,0.9738,1.1678,1.2055,0.9880,2.2985,2.0695,0.9894,1.4434,0.8823,0.9414,1.1224,1.2130,1.2984,1.1313,2.0420,2.2375,1.9940,NQC,1.1086,1.5211
