COLOMBO,,1.9317,1.5815,1.2825,2.0038,1.9530,1.9239,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.9271,,0.7891,1.8014,1.7223,1.4471,1.5008,1.2271,1.2326
GAMPAHA,,1.8556,1.5772,1.2580,2.0025,1.9628,1.9009,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.7695,,0.7556,1.8014,1.7223,1.4873,1.6821,1.2283,1.2338
KALUTARA,,1.8640,1.5996,1.2853,2.0115,1.9653,1.8048,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,1.0194,,0.8140,1.8014,1.7223,1.5767,1.7488,1.2333,1.2380
MATALE,,1.7385,NQC,1.2282,2.0307,1.9852,NQC,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.6803,,0.6335,1.8014,1.7223,1.6141,1.6264,1.1586,NQC
KANDY,,1.8075,1.4504,1.2596,2.0030,1.9618,1.8142,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.9049,,0.7766,1.8014,1.7223,1.5499,1.4135,1.2041,1.2320
,NUWARA ELIYA,1.8630,1.3529,1.2634,2.1405,1.9687,1.7784,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.6563,,0.8008,1.8014,1.7223,1.6196,1.6318,1.1127,1.1128
GALLE,,1.8970,1.5297,1.2955,2.0000,1.9857,NQC,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.9275,,0.8782,1.8014,1.7223,1.5356,1.8038,1.2229,1.2377
MATARA,,1.9436,1.4216,1.2892,2.0000,1.9597,1.9404,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.9528,,0.7989,1.8014,1.7223,1.5510,1.7911,1.2174,1.2173
,HAMBANTOTA,1.8041,1.1957,1.1815,1.9979,NQC,NQC,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.9054,,0.8160,1.8014,1.7223,1.5173,1.7798,NQC,1.0374
JAFFNA,,1.8630,1.0875,1.0237,2.0690,1.9529,1.9029,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.9949,0_,).6890,1.8014,1.7223,1.4598,NQC,NQC,0.9572
,KILINOCHCHI,1.2875,NQC,0.9097,NQC,NQC,1.7541,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.3307,,0.3022,1.8014,1.7223,1.5526,NQC,NQC,0.9587
MANNAR,,1.5583,1.0630,1.0539,2.1026,NQC,1.7475,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.8365,,0.2125,1.8014,1.7223,1.5920,NQC,NQC,1.0619
,MULLAITIVU,1.2820,NQC,1.2233,2.0776,1.9594,NQC,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.4195,,0.2226,1.8014,1.7223,1.6461,NQC,1.2117,NQC
VAVUNIYA,,1.7014,NQC,1.2462,2.0576,1.9934,1.9205,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.7592,,0.7938,1.8014,1.7223,1.3174,1.6569,NQC,1.0532
,TRINCOMALEE,1.7542,1.1009,1.2269,2.0024,1.9595,1.9353,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,1.0166,,0.7425,1.8014,1.7223,1.6698,1.4990,NQC,0.9470
,BATTICALOA,1.9533,1.1035,1.1005,2.0666,1.9797,1.9360,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,1.0006,,0.7491,1.8014,1.7223,1.5635,NQC,1.0977,1.0897
AMPARA,,1.7972,1.0637,1.0100,2.0192,1.9530,1.9327,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.7969,,0.7235,1.8014,1.7223,1.6659,1.4953,NQC,0.9916
PUTTALAM,,1.7134,1.4138,1.1703,2.0253,1.9764,1.8898,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.7097,,0.5615,1.8014,1.7223,1.5841,1.7294,1.0899,NQC
,KURUNEGALA,1.7715,1.4696,1.2911,2.0030,1.9841,1.8426,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.9248,,0.8714,1.8014,1.7223,1.6156,1.8039,1.2393,1.2554
,ANURADHAPURA,1.8439,1.5799,1.1886,1.9954,1.9585,1.9008,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.5820,,0.5738,1.8014,1.7223,1.4898,1.6590,1.1501,1.1762
,POLONNARUWA,1.8352,1.2738,1.1956,2.0050,1.9948,NQC,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.4012,,0.5088,1.8014,1.7223,1.5368,1.7729,1.1436,1.0740
BADULLA,,1.8670,1.4770,1.2283,2.0025,1.9570,1.9149,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.8145,,0.7917,1.8014,1.7223,1.5510,1.7796,1.1152,1.1193
,MONARAGALA,1.7155,1.6110,1.2026,2.0120,2.0942,NQC,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.8972,,0.7331,1.8014,1.7223,1.6109,1.6893,1.2249,1.2028
KEGALLE,,1.8873,1.4420,1.2876,2.0055,1.9769,1.8861,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.8502,,0.8456,1.8014,1.7223,1.5517,1.5968,1.2441,1.2477
,RATNAPURA,1.9297,1.4591,1.2819,1.9984,1.9621,1.9210,1.7180,1.5825,1.5310,1.4394,1.2062,1.3492,1.1729,1.3144,1.3190,1.2114,1.0876,1.4045,1.2185,1.8484,0.9760,,0.8792,1.8014,1.7223,1.6040,1.7623,1.1750,1.1759
