COLOMBO,,0.8624,0.9020,0.8582,0.8711,0.8887,0.7824,0.8672,0.7205,0.6984,0.7291,1.7329,1.5900,1.7810,1.6379,1.3185,1.4181,1.3413,1.3382,1.3185,1.3542,1.3712,1.5794,1.6096,1.4831,1.2849,1.2854,1.2890,1.5979
GAMPAHA,,0.7250,0.9010,0.7463,0.7804,0.9417,0.7987,0.8722,0.7203,0.6915,0.7146,1.7343,1.5872,1.8011,1.6373,1.3153,1.4148,NQC,1.3219,1.3109,1.3554,1.3721,1.5395,1.6071,1.4869,1.2625,1.2767,1.2833,1.5452
KALUTARA,,0.7957,0.8991,0.7833,0.8234,1.0562,0.7917,0.8644,0.7300,0.7196,0.7122,1.7330,1.5973,1.8042,1.6367,1.3944,1.4149,NQC,NQC,1.3781,1.3689,1.3744,1.4638,1.6094,1.4844,1.2904,1.2906,1.3147,1.5779
MATALE,,0.7004,0.9051,0.5682,0.5741,0.9743,0.8444,0.8670,0.7282,0.5601,0.6412,1.7558,1.6036,1.7898,1.6552,1.2494,1.4304,NQC,NQC,1.2853,1.3553,1.3730,1.4628,1.6053,1.5017,NQC,1.1667,1.1869,1.5862
KANDY,,0.7059,0.9043,0.7181,0.6947,0.8958,0.7813,0.8679,0.7403,0.6379,0.6542,1.7370,1.5880,1.7995,1.6381,1.3052,1.4162,1.2984,1.3284,1.2886,1.3602,1.3758,1.5496,1.6095,1.4844,1.2479,1.2512,1.2476,1.5634
,NUWARA ELIYA,NQC,NQC,0.4653,0.0517,0.6227,NQC,NQC,NQC,NQC,0.0269,1.7500,1.5953,1.7863,1.6374,1.1790,1.4201,1.1832,1.2130,1.2886,1.3637,1.3760,1.5619,1.6472,1.5037,NQC,1.1315,1.1193,1.5713
GALLE,,0.9686,0.9499,NQC,NQC,1.0750,0.7814,0.8687,0.7555,0.8560,0.7741,1.7330,1.5885,1.7936,1.6367,NQC,1.4188,NQC,1.3444,1.3447,1.3555,1.3951,1.5527,1.6072,1.4871,1.2685,1.2628,1.2646,1.5400
MATARA,,NQC,0.9064,NQC,NQC,1.0723,0.7828,0.8658,0.7653,0.7871,NQC,1.7336,1.5890,1.7827,1.6442,NQC,1.4193,NQC,NQC,NQC,1.3738,1.4059,1.5894,1.6053,1.4943,1.2719,1.3261,1.2753,1.5497
,HAMBANTOTA,0.7826,0.9053,0.7707,0.8599,1.1194,0.7879,0.8665,0.7367,0.8102,NQC,1.7340,1.6067,1.7847,1.6599,1.0906,1.4305,1.0918,1.1000,1.2875,1.3555,1.3878,1.5439,1.6351,1.4862,NQC,1.0560,1.0437,1.5189
JAFFNA,,0.7660,NQC,0.8687,NQC,1.0978,0.8123,0.8810,0.7368,0.7346,NQC,1.7354,1.6123,1.8025,NQC,1.0660,NQC,1.0089,1.1683,1.4507,NQC,NQC,1.3482,NQC,NQC,NQC,NQC,0.8918,1.4919
,KILINOCHCHI,0.7308,NQC,0.6225,NQC,0.9730,NQC,NQC,NQC,0.5737,NQC,1.7334,1.6123,NQC,NQC,1.0988,NQC,1.0157,NQC,NQC,NQC,NQC,1.2899,NQC,NQC,NQC,NQC,0.9646,1.5127
MANNAR,,NQC,1.0094,0.4528,0.0149,0.9445,NQC,NQC,NQC,NQC,0.0124,1.7605,1.5879,1.9060,NQC,1.0787,NQC,1.3019,NQC,1.3341,1.3933,1.3966,1.5419,NQC,1.4856,NQC,1.0686,NQC,1.5775
,MULLAITIVU,NQC,NQC,0.4382,0.2835,0.6239,NQC,NQC,NQC,NQC,0.3395,1.7390,1.6091,1.8638,NQC,1.2681,NQC,NQC,NQC,1.5812,NQC,NQC,1.2196,NQC,NQC,1.2541,1.2356,NQC,1.5170
VAVUNIYA,,0.7277,NQC,0.4678,0.3035,0.9950,0.9540,NQC,NQC,0.5509,0.2761,1.7336,1.6144,1.8014,NQC,1.1649,NQC,1.2047,1.2397,1.3520,NQC,NQC,1.5189,1.6367,NQC,1.2521,1.0574,NQC,1.5193
,TRINCOMALEE,0.7051,0.9038,0.4719,0.5409,1.0721,0.8370,0.8692,NQC,0.5703,0.3900,1.7496,1.6488,1.7897,1.6505,1.0712,1.4779,1.0857,1.0700,1.3050,NQC,1.3702,1.4408,NQC,NQC,NQC,1.0608,0.9556,1.5620
,BATTICALOA,0.6974,0.9065,0.5306,0.5543,1.0850,0.8026,NQC,0.8316,0.5681,0.5803,1.7354,1.5879,1.7978,1.6562,1.1708,1.5693,1.1723,1.2038,1.2869,NQC,NQC,1.4687,NQC,NQC,NQC,1.1332,1.1162,1.4990
AMPARA,,0.6966,0.9064,0.5841,0.5742,1.0476,NQC,0.8755,NQC,0.5333,0.5292,1.7941,1.5906,1.9218,1.6367,1.0813,1.4174,1.0898,1.0880,1.2945,1.3558,1.3894,1.5224,1.6282,1.4849,NQC,1.0562,1.0142,1.5522
PUTTALAM,,0.7319,0.9151,0.4211,0.3296,0.9590,0.8838,NQC,0.7392,0.5963,0.2839,1.7333,1.6067,1.7979,1.6374,1.1731,1.4582,1.2032,1.2147,1.2859,1.3618,1.3742,1.3410,NQC,1.5497,NQC,1.1032,1.0981,1.5265
,KURUNEGALA,0.7760,0.8995,0.7728,0.7933,1.0521,0.7893,0.8686,0.7227,0.6968,0.7800,1.7324,1.5884,1.7843,1.6378,1.3620,1.4152,NQC,NQC,1.3607,1.3602,1.3702,1.5379,1.6062,1.4926,1.3051,1.3051,1.3182,1.5648
,ANURADHAPURA,0.7020,0.9203,0.4441,0.4329,1.0297,0.7943,NQC,0.7651,0.5270,0.3973,1.7348,1.6052,1.7928,1.6391,1.2147,1.4267,1.2359,NQC,1.2844,1.3634,1.3724,1.5616,1.6294,1.4956,NQC,1.1168,1.1125,1.5806
,POLONNARUWA,0.7025,NQC,0.4181,0.1972,0.7790,NQC,NQC,NQC,NQC,0.1646,1.7341,1.5960,1.8066,1.6578,1.1787,1.4189,1.2355,1.1607,1.2919,1.3637,1.3867,1.5306,1.6160,1.5814,1.2950,1.0879,1.0800,1.6311
BADULLA,,0.7008,0.9010,0.6326,0.6695,1.0278,0.8027,0.9178,0.7279,0.5684,0.5756,1.7477,1.6085,1.8237,1.6429,1.1799,1.4150,1.1800,1.1784,1.2889,1.3557,1.3822,1.5272,1.6169,1.4928,1.2377,1.1269,1.1269,1.5792
,MONARAGALA,0.7174,0.9069,0.6196,0.6245,1.0800,NQC,NQC,0.7200,0.5772,0.5764,NQC,1.6203,1.8236,1.6521,1.3498,1.4148,NQC,NQC,1.2884,1.3561,1.3938,1.5169,NQC,1.5037,1.2380,1.2283,1.2320,1.6193
KEGALLE,,0.8057,0.9070,0.8641,0.8421,1.0232,0.7839,0.8710,0.7455,NQC,0.7715,1.7372,1.5954,1.7889,1.6410,1.3248,1.4199,NQC,NQC,1.3205,1.3571,1.3728,1.5302,1.6071,1.4939,1.2780,1.2790,1.2810,1.5787
,RATNAPURA,0.7062,0.9014,0.5878,0.5882,1.0664,0.7793,0.8644,0.7527,0.5703,0.5091,1.7364,1.5955,1.7846,1.6415,1.2444,1.4227,1.2459,1.2544,1.2849,1.3617,1.3737,1.5830,1.6159,1.5002,1.2372,1.1834,1.2047,1.6051
