COLOMBO,,1.3093,1.2328,1.0115,1.0732,0.9949,0.9968,0.8250,0.8950,0.6625,1.9034,1.7762,NQC,1.6861,2.1036,NQC,1.5225,1.4990,1.3200,1.6123,1.5054,1.5246,1.2741,1.3257,NQC,1.2613,1.1588,1.0756,0.9845
GAMPAHA,,1.3236,1.2275,0.8881,1.0822,0.7536,0.5734,0.8043,0.8890,0.5294,1.9033,1.7618,1.4031,1.6079,2.1067,NQC,1.3772,1.3972,1.3058,1.6342,1.5127,1.5586,1.1092,1.3241,1.1211,1.2675,1.1551,1.0759,0.9841
KALUTARA,,1.3093,1.2257,1.1666,1.1478,NQC,NQC,0.8608,0.8937,NQC,1.9109,1.7647,NQC,1.6421,2.1193,NQC,1.5348,1.5398,1.2950,1.6319,1.5057,1.5193,NQC,1.4002,NQC,1.2645,1.1531,1.0801,0.9862
MATALE,,1.3551,1.2876,0.9068,1.0788,0.7426,0.7822,0. .8306,1.1245,NQC,1.9649,NQC,1.3920,1.6520,2.1393,1.0985,1.4027,1.3238,1.2051,1.8713,NQC,NQC,1.2467,NQC,0.8035,NQC,1.1639,1.0797,0.9899
KANDY,,1.3109,1.2349,0.9725,1.0802,0.9790,NQC,0.8545,0.9110,NQC,1.9075,1.7482,1.5391,1.6097,2.1072,1.5351,1.4557,1.4391,1.2720,1.6176,1.5137,1.5380,1.1251,1.3349,0.8446,1.2615,1.1531,1.0725,0.9896
,NUWARA ELIYA,NQC,1.3065,0.9122,1.0935,0.7490,0.4179,0.8315,NQC,0.3792,1.9770,NQC,1.3978,1.6081,2.1524,0.7247,1.2708,1.2167,0.8566,1.7593,NQC,NQC,NQC,NQC,0.4791,NQC,1.3844,NQC,NQC
GALLE,,1.3195,1.2282,NQC,1.0850,1.1413,NQC,0.8240,0.8943,NQC,1.9115,1.7652,NQC,1.7063,2.1010,NQC,1.4786,1.5052,1.3452,1.6196,1.5121,1.5537,NQC,1.3671,NQC,1.2617,1.1534,1.0726,0.9868
MATARA,,1.3103,1.2297,NQC,1.0802,NQC,NQC,0.8080,0.9447,0.7164,1.9095,1.7507,NQC,1.7840,2.1146,NQC,1.5106,1.5306,1.3892,1.6129,1.5127,1.5253,NQC,1.4776,NQC,1.2642,1.1622,1.0783,0.9925
,HAMBANTOTA,1.3119,1.2442,0.9197,1.0923,0.8596,0.7948,0.8412,0.9282,0.6722,1.9035,1.7631,NQC,1.6355,2.1096,NQC,1.5290,1.4986,1.3718,1.6148,1.5117,1.5284,NQC,1.4149,NQC,1.2677,1.1700,1.0747,0.9849
JAFFNA,,1.3328,1.2634,1.0082,NQC,NQC,NQC,0.8127,0.9571,0.7369,1.9054,1.7800,NQC,NQC,2.1167,NQC,1.4386,1.4641,1.3571,1.6366,1.5073,1.5575,1.3709,1.3711,NQC,1.2689,1.1636,1.0765,1.0002
