,KILINOCHCHI,NQC,NQC,0.9132,NQC,0.8409,0.6308,NQC,NQC,0.5981,NQC,NQC,1.3255,1.6368,2.1576,1.2605,1.0771,1.2035,1.2397,NQC,NQC,NQC,1.2027,NQC,0.8907,NQC,NQC,NQC,NQC
MANNAR,,NQC,NQC,NQC,NQC,0.8468,0.2566,NQC,NQC,0.2480,NQC,NQC,1.3880,1.6789,2.2964,1.1786,1.1130,1.0115,1.1677,NQC,NQC,NQC,NQC,NQC,0.5131,NQC,NQC,NQC,NQC
,MULLAITIVU,NQC,NQC,0.9179,NQC,0.8390,NQC,NQC,NQC,0.6331,NQC,NQC,1.3682,1.6311,NQC,0.8143,0.9722,0.7608,0.7110,NQC,NQC,NQC,NQC,NQC,0.6127,NQC,NQC,NQC,NQC
VAVUNIYA,,NQC,1.2389,1.1751,NQC,0.8075,0.4457,NQC,NQC,0.5052,1.9561,1.8165,1.3911,1.6191,2.1726,1.3571,1.1943,1.1720,1.2551,1.8869,NQC,NQC,1.2433,NQC,0.7283,NQC,NQC,NQC,NQC
,TRINCOMALEE,1.3766,NQC,0.9871,NQC,0.9962,0.5396,NQC,NQC,0.4815,1.9674,1.8803,1.3429,1.6188,2.2361,1.2946,1.2499,1.2394,1.1011,NQC,NQC,1.5422,1.2893,NQC,0.7455,1.3205,NQC,NQC,NQC
,BATTICALOA,1.3365,1.2483,1.0014,1.0716,0.7572,0.6869,0.9068,NQC,0.6373,1.9032,1.8462,1.4842,1.6126,2.1146,1.5402,1.4094,1.3920,1.3807,2.2870,NQC,NQC,1.1515,NQC,1.0560,1.3694,NQC,1.1048,0.9932
AMPARA,,1.3223,1.2325,0.8995,1.0800,0.8038,0.8888,NQC,0.9495,0.6575,1.9111,NQC,1.3419,1.6166,2.2577,1.3775,1.2183,1.1729,1.1659,NQC,NQC,NQC,1.1527,NQC,0.8677,1.6380,NQC,NQC,1.0241
PUTTALAM,,1.3112,1.2578,0.9048,1.0856,0.7416,0.5876,0.8286,NQC,0.4939,1.9303,1.7810,1.3371,1.6414,2.1492,1.2173,1.3329,1.3391,1.1705,1.7712,NQC,NQC,1.1268,NQC,0.6784,1.3690,1.1531,1.1056,1.0236
,KURUNEGALA,1.3109,1.2277,1.0926,1.0851,NQC,NQC,0.8467,0.8908,NQC,1.9069,1.7552,NQC,1.6211,2.1101,NQC,1.5353,1.5258,1.3547,1.6149,1.5103,1.5525,1.1948,1.3281,NQC,1.2604,1.1574,1.0728,0.9851
,ANURADHAPURA,1.3195,1.2341,0.8982,1.1203,0.7564,0.5119,0.8329,0.9604,0.4826,1.9101,1.8694,1.3887,1.6126,2.1096,NQC,1.3221,1.3281,1.2083,1.6293,NQC,NQC,1.1079,1.3514,0.7886,1.3592,1.1641,1.0811,1.0188
,POLONNARUWA,NQC,NQC,0.9443,1.1076,0.7709,0.3551,0.8636,NQC,0.3594,1.9099,1.8118,1.4474,1.6687,2.2829,0.7871,1.0241,1.2206,0.8628,1.6465,NQC,NQC,NQC,NQC,0.5547,2.2960,NQC,NQC,NQC
BADULLA,,1.3184,1.2406,0.9045,1.0729,0.7613,0.6449,0.8008,0.8918,0.6691,1.9119,1.9777,1.5255,1.6080,2.1020,NQC,1.4543,1.4500,1.3308,1.8790,NQC,NQC,1.1610,1.3583,1.1729,1.2654,1.1581,1.0947,0.9844
,MONARAGALA,1.3949,1.2896,0.9548,1.1236,0.7820,0.4781,0.8673,NQC,0.4600,1.9073,NQC,1.3542,1.6237,2.1015,1.3110,1.4088,1.5479,1.2582,1.6545,NQC,NQC,1.1033,NQC,0.8722,NQC,1.1978,1.1111,0.9939
KEGALLE,,1.3208,1.2332,1.1569,1.0843,NQC,NQC,0.8766,0.9010,NQC,1.9081,1.7507,NQC,1.6435,2.1115,NQC,1.5044,1.5247,1.3776,1.6197,1.5524,1.5784,1.2459,1.3279,NQC,1.2610,1.1635,1.0721,0.9858
RATNAPURA,,1.3121,1.2282,0.8876,1.0738,0.7368,0.6316,0.8098,0.9405,0.5332,1.9074,1.8441,1.4062,1.6228,2.1048,1.4407,1.4393,1.4481,1.3091,1.6347,1.5303,1.5353,1.1817,1.3333,1.2067,1.2627,1.1557,1.0801,0.9917
