COLOMBO,,0.9974,1.5338,0.9679,0.8942,1.3257,0.3594,0.6717,1.1138,1.0316,1.3184,1.0633,1.0999,0.8758,0.7807,0.2977,0.7756,0.9184,NQC,0.0672,0.0655,NQC,NQC,0.2439,0.3643
GAMPAHA,,1.0193,1.5746,0.9607,0.8843,1.3795,NQC,0.9240,0.8462,0.8714,1.3040,1.0633,1.0999,0.6020,-0.0905,0.2155,0.8958,0.7873,1.2643,NQC,-0.4526,NQC,NQC,NQC,NQC
KALUTARA,,1.4977,1.5374,0.9734,0.9089,1.2803,0.5809,0.7276,1.0886,1.0585,1.3114,1.0633,1.0999,0.9569,0.3424,0.5951,0.9194,0.4765,NQC,0.4778,-0.5592,-0.4372,0.6484,0.7635,0.0772
MATALE,,NQC,1.5794,1.2561,0.4549,1.3401,NQC,0.6232,0.9007,NQC,1.4221,1.0633,1.0999,1.2767,0.5595,0.9793,0.9385,1.0223,0.5481,0.2740,0.4399,0.4670,-0.2345,-0.1395,0.4405
KANDY,,9404,1.5392,1.0196,0.6295,1.2902,0.6802,0.7095,0.9852,0.7936,1.3343,1.0633,1.0999,0.9707,0.0659,0.8065,0.9312,0.5006,NQC,0.1218,-0.0591,-0.0373,0.5822,-0.6296,-0.1319
,NUWARA ELIYA,0.8619,1.6373,NQC,0.4319,NQC,0.7378,1.3782,NQC,0.5150,1.3940,1.0633,1.0999,0.7268,0.6688,0.3023,-0.1693,0.3940,-0.2382,0.4185,0.1365,0.2056,0.5513,0.0173,0.3666
GALLE,,NQC,1.5480,0.9758,0.9235,1.3169,NQC,0.8917,1.1879,1.1485,1.3229,1.0633,1.0999,0.1914,1.7660,0.9002,1.0293,0.3861,1.3809,NQC,NQC,NQC,-0.9468,NQC,NQC
MATARA,,NQC,1.5540,0.9772,1.3015,1.3136,0.2825,NQC,1.1603,1.1187,1.3183,1.0633,1.0999,1.2467,0.8580,0.8851,1.0088,0.9872,0.7901,0.0609,NQC,-0.1418,0.2380,NQC,NQC
,HAMBANTOTA,1.3141,1.5584,0.9620,0.7725,1.2827,NQC,NQC,1.0815,1.1990,1.3170,1.0633,1.0999,1.1013,0.9397,0.4056,0.6664,NQC,NQC,NQC,NQC,-0.0806,NQC,NQC,NQC
JAFFNA,,8547,1.8565,0.9819,0.9422,NQC,0.9260,NQC,NQC,NQC,1.4395,1.0633,1.0999,NQC,NQC,-0.2374,NQC,NQC,0.3750,0.5709,0.4859,0.2134,0.5660,0.4060,0.9743
KILINOCHCHI,,0 8913,NQC,NQC,0.0832,NQC,0.6382,NQC,NQC,NQC,1.2347,1.0633,1.0999,NQC,NQC,NQC,NQC,NQC,-0.0806,0.3848,0.3409,0.9594,0.5767,0.4378,1.0107
MANNAR,,0.5081,NQC,NQC,NQC,NQC,0.8658,NQC,NQC,NQC,1.2516,1.0633,1.0999,NQC,NQC,NQC,NQC,NQC,0.7050,0.5690,0.1749,0.4944,0.5640,0.5766,0.8425
MULLAITIVU,,0.2412,NQC,NQC,-0.2476,NQC,0.9694,NQC,NQC,NQC,1.1682,1.0633,1.0999,NQC,NQC,NQC,NQC,NQC,0.5589,0.6667,0.4024,0.4468,0.6064,0.3287,0.9723
VAVUNIYA,,0.1369,NQC,NQC,0.4188,NQC,0.9181,NQC,NQC,NQC,1.4837,1.0633,1.0999,NQC,NQC,1.4451,1.1050,NQC,0.9317,0.4882,0.4496,NQC,-0.0913,-0.3866,0.3932
