COLOMBO,,1.6527,1.4305,1.5562,1.4253,1.5533,1.6537,1.6151,1.2904,1.4086,0.8010,1.4664,1.4536,1.6551,0.6364,0.8660,0.9481,0.7182,0.7977,1.2957,1.3457,1.0381,1.3613,,0.1613
GAMPAHA,,NQC,1.3056,1.5674,1.4341,1.5085,NQC,1.5581,1.1592,1.2372,0.8661,1.4405,1.4319,1.5243,0.5586,0.8085,1.0099,0.8552,0.7430,1.2977,1.4300,1.0380,1.3505,,0.0300
KALUTARA,,1.6534,NQC,1.5970,1.4866,1.5391,1.6928,NQC,1.3673,1.3898,0.8829,1.4741,1.4332,1.7029,0.7498,0.8267,1.0219,0.9020,0.7559,1.2797,1.4332,1.1007,1.4172,,NQC
MATALE,,NQC,1.3990,1.6323,1.3570,1.3418,NQC,1.5072,1.2230,1.3834,0.7818,1.3373,1.4430,1.5773,0.7222,0.8861,0.9340,0.8352,0.6908,1.1666,1.5725,0.8558,1.1836,,NQC
KANDY,,1.6931,1.4771,1.5533,1.3905,1.4958,1.6857,1.5786,1.2908,1.3863,0.8357,1.3994,1.4093,1.4866,0.6057,0.8251,1.0044,0.9292,0.7817,1.2572,1.5037,0.9399,1.3509,,NQC
,NUWARA ELIYA,NQC,1.1843,NQC,1.2336,1.3735,NQC,1.2694,1.1088,1.1477,0.7375,1.2978,0.9738,1.6650,0.5771,0.8625,0.9404,0.7283,0.6827,1.1065,1.3993,0.5573,0.9592,,0.2803
GALLE,,1.6681,1.6107,1.6253,1.4146,1.4766,1.6966,1.6871,1.3834,1.3966,0.9434,1.4173,1.4452,1.5494,0.6993,0.8847,1.0082,0.8833,0.8451,1.3291,1.5275,1.0840,1.3813,,NQC
MATARA,,1.6680,NQC,1.5984,1.4687,1.5766,1.6836,1.7154,1.4317,1.4537,0.9402,1.4785,1.4616,1.6972,0.7220,0.9032,0.9949,0.9253,0.8623,1.3384,1.4749,1.1215,1.4020,,NQC
,HAMBANTOTA,1.6555,NQC,1.6116,1.5502,1.5823,1.6695,NQC,1.3729,1.4359,0.9750,1.4686,1.4254,1.6388,0.7208,0.8198,1.0460,0.9657,0.8504,1.1523,1.3632,1.0793,1.4023,,NQC
JAFFNA,,1.6543,1.6436,NQC,1.5571,1.4538,1.6759,1.7109,1.3996,1.4772,0.6446,1.3710,1.4517,1.4075,0.6113,0.9031,1.0147,0.8549,0.8635,1.0644,1.5027,1.1011,1.3979,,0.1970
,KILINOCHCHI,NQC,1.5983,NQC,1.5570,1.2731,NQC,1.5702,1.3590,1.4050,0.4486,0.9322,1.0147,NQC,0.4242,0.5578,1.0118,0.7285,0.3782,0.5331,1.4104,0.9562,1.0163,,0.3664
MANNAR,,NQC,1.5085,NQC,1.4238,1.4620,NQC,1.5430,1.0102,1.3446,0.9298,1.0410,1.0521,1.0883,0.4677,0.7679,0.3409,0.8604,0.4877,1.0606,1.5983,0.5667,0.5768,,0.7151
