,MULLAITIVU,NQC,1.6030,NQC,1.4904,1.4162,NQC,1.6234,1.4198,1.4866,0.9779,0.9189,0.9422,-0.2361,0.6402,0.3524,0.8046,0.5136,0.2773,1.1780,1.5620,0.5171,0.5742,,0.5126
VAVUNIYA,,1.6896,1.6158,NQC,1.4813,1.5521,NQC,1.6377,1.3074,1.3532,0.6177,0.8452,1.2451,1.0641,0.4123,0.7850,0.4319,0.8849,0.3543,1.0095,1.5617,1.0640,1.1215,,0.1970
,TRINCOMALEE,NQC,1.6113,1.6224,1.5627,1.2794,1.6555,NQC,1.3189,1.4911,0.6674,1.2645,1.1905,1.5726,0.5575,0.9010,0.5905,0.7388,0.7876,1.1627,1.5828,0.9920,1.2470,,0.1176
,BATTICALOA,1.7539,1.6084,1.6084,1.5164,1.5098,1.6657,1.6903,1.4293,1.4700,0.6503,1.4021,1.4344,1.6337,0.5615,0.8468,1.0512,0.6946,0.8316,1.0752,1.5841,1.0319,1.2586,0.,2359
AMPARA,,1.6565,1.6454,1.5551,1.5723,1.5852,1.7007,1.6960,1.4318,1.4633,0.8476,1.4615,1.1898,1.6489,0.6243,0.7123,0.7761,0.7503,0.8117,1.0157,1.5920,1.0374,1.3876,,0.0565
PUTTALAM,,NQC,1.5206,1.5445,1.5429,1.5543,NQC,1.6454,1.4324,1.4935,0.8203,1.3995,1.2916,1.7022,0.5322,0.6873,0.9096,0.9316,0.6864,1.0872,1.5525,1.0346,1.2104,,-0.0226
,KURUNEGALA,1.6575,NQC,1.5939,1.5505,1.5507,1.6734,1.7232,1.3718,1.4388,0.8450,1.4146,1.4234,1.6647,0.6808,0.8054,1.0332,0.9156,0.7927,1.2580,1.4961,1.0631,1.3894,,1.0374
,ANURADHAPURA,NQC,1.3768,NQC,1.4098,1.4436,NQC,1.3458,1.1897,1.1741,0.7954,1.3664,1.3349,1.5635,0.5574,0.6968,0.8369,0.8638,0.6143,1.2046,1.4766,0.9517,1.3049,,0.0136
,POLONNARUWA,NQC,1.1836,NQC,1.2645,1.2247,NQC,1.3046,1.1833,1.0784,0.8926,1.2529,1.2973,1.6929,0.4872,0.6411,0.9751,0.7492,0.6793,1.3173,1.3861,0.7058,1.2577,,NQC
BADULLA,,NQC,1.5035,1.5724,1.4799,1.5833,NQC,1.5750,1.3150,1.3195,0.8250,1.3300,1.3951,1.5592,0.6684,0.7959,0.9895,0.8575,0.7773,1.3014,1.4761,1.0868,1.3884,,NQC
,MONARAGALA,NQC,1.4777,NQC,1.5449,1.4620,NQC,1.5372,1.3262,1.4246,0.7508,1.3832,1.3710,1.7148,0.6880,0.7977,1.0657,0.9543,0.8444,1.2760,1.4126,1.0141,1.3114,,NQC
KEGALLE,,1.6564,NQC,1.5833,1.5750,1.5194,NQC,1.6189,1.3786,1.4595,0.9707,1.3978,1.4044,1.7144,0.6958,0.8720,1.0004,0.9211,0.8540,1.3112,1.5412,0.9452,1.3966,,NQC
RATNAPURA,,1.6553,1.5615,1.5562,1.5037,1.5794,1.6648,1.6750,1.3096,1.4414,0.9048,1.4141,1.4149,1.7204,0.7058,0.9135,1.0032,0.8539,0.7808,1.2731,1.4501,1.0474,1.3317,,NQC
