COLOMBO,,2.4516,2.2279,2.1465,2.0526,1.8790,1.9559,1.8732,NQC,1.8772,1.8894,1.9152,NQC,1.8311,1.8337,1.7345,1.7704,1.1759,0.4638,0.4158,0.5911,0.6993,0.5923,1.0529,1.5034,1.4434,1.3571,1.5982,1.4293
GAMPAHA,,2.4412,2.2147,2.1566,2.0517,1.7278,1.9550,1.8707,1.6406,1.8547,1.6816,1.6890,1.6473,1.6275,1.6219,1.6011,1.5980,1.2040,0.4618,0.4227,0.5781,0.6872,0.6036,1.1113,1.5113,1.4441,1.2593,1.6014,1.4238
KALUTARA,,2.4446,2.2204,2.1474,2.0514,1.7840,1.9559,1.8732,1.7783,1.8995,1.7850,1.7711,NQC,1.7698,1.7682,1.7211,1.7372,1.2884,0.6491,0.7903,0.5987,0.6924,0.5923,1.2161,1.5138,1.4433,1.4426,1.5932,1.4375
MATALE,,2.4981,2.2150,2.1943,2.0612,1.7073,1.9778,NQC,1.6524,1.8604,1.6800,1.6921,1.6520,1.6329,NQC,1.5648,1.5588,1.2325,0.6560,NQC,0.6104,0.7378,0.6231,1.1317,NQC,NQC,1.1763,NQC,1.5053
KANDY,,2.5501,2.2216,2.1512,2.0545,1.8169,1.9598,1.8827,NQC,1.8509,1.8032,1.8229,NQC,1.7860,NQC,1.7446,1.7709,1.3487,0.7642,0.6029,0.6183,0.7021,0.6098,1.0935,1.5677,1.4696,1.1115,1.6031,1.4175
,VUWARA ELIYA,NQC,2.2598,NQC,2.0969,1.7308,1.9775,1.9286,1.4296,1.9025,1.6837,1.7319,1.3830,1.3891,1.3789,1.3253,1.3150,1.1548,0.4627,0.3495,0.6258,0.9751,0.6297,1.0887,NQC,NQC,1.0500,NQC,NQC
GALLE,,2.4478,2.2429,2.1503,2.0791,NQC,1.9552,1.8728,NQC,1.9071,NQC,1.8661,NQC,1.8319,1.8340,1.7523,1.7812,1.3090,0.6394,0.6045,0.5857,0.7423,0.5863,1.1207,1.5440,1.4435,1.4051,1.5974,1.4172
VATARA,,2.4552,2.2225,2.1557,2.0508,NQC,1.9550,1.9130,NQC,1.9079,1.9005,NQC,NQC,1.8405,1.8535,1.7211,1.7361,1.3705,0.6099,0.5849,0.5798,0.7077,0.5887,1.1777,1.6068,1.4624,1.3730,1.6141,1.4226
,HAMBANTOTA,2.4711,2.2646,2.1643,2.0508,1.7765,1.9606,1.9222,1.8366,1.8525,1.7698,NQC,NQC,1.7587,1.8254,1.7457,1.7306,1.3042,0.8231,0.6204,0.6221,0.7067,0.6287,1.1177,1.5091,1.4433,NQC,1.6106,1.4273
AFFNA,,2.4504,2.2120,2.1968,NQC,1.8724,NQC,2.0797,NQC,NQC,NQC,NQC,NQC,1.8086,NQC,1.7370,1.7859,1.3043,0.6679,0.6728,0.7215,0.6964,0.6797,1.2116,1.5054,1.4820,NQC,1.6491,1.4511
,KILINOCHCHI,NQC,2.3267,2.1972,NQC,1.7943,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.6660,NQC,1.6470,1.5353,1.2744,0.5958,0.4655,0.8534,NQC,NQC,0.7893,NQC,NQC,1.1019,NQC,NQC
MANNAR,,NQC,NQC,NQC,2.1087,1.7335,NQC,NQC,1.6845,NQC,1.7070,1.8481,NQC,1.6619,NQC,1.5410,1.5458,1.2453,0.4667,0.3943,NQC,0.7442,0.8777,1.1268,NQC,NQC,1.2822,NQC,NQC
,MULLAITIVU,NQC,2.2786,NQC,NQC,1.8819,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.7586,NQC,1.6464,1.3834,1.2566,0.6176,0.7097,NQC,NQC,NQC,0.9533,NQC,NQC,1.3428,NQC,NQC
VAVUNIYA,,2.5134,2.2496,2.1503,NQC,1.8433,1.9671,1.8938,1.9934,1.9980,NQC,NQC,NQC,NQC,1.8206,1.7615,1.7345,0.6477,0.5199,0.4281,NQC,NQC,NQC,0.9612,NQC,NQC,1.0429,NQC,NQC
,TRINCOMALEE,2.4637,2.2480,2.1783,2.0533,1.7138,2.0044,1.8843,1.7370,1.8620,NQC,1.7552,NQC,1.6686,NQC,1.6649,1.6639,1.0878,0.4674,0.4730,NQC,NQC,0.6900,1.1347,NQC,NQC,1.1645,NQC,1.4192
,BATTICALOA,2.4902,2.2518,2.1621,2.0571,1.8226,1.9614,NQC,1.8413,1.8601,NQC,NQC,NQC,1.7962,NQC,1.7456,1.7530,1.1553,0.5724,0.5697,NQC,0.7723,0.5791,1.1750,NQC,NQC,1.2097,NQC,1.5038
AMPARA,,2.4374,2.2384,2.1690,2.0536,1.8321,1.9566,1.8997,1.8169,1.8566,1.8048,1.8216,NQC,1.7816,NQC,1.7268,1.7033,1.3384,0.5844,0.6102,0.5905,0.7557,0.5914,1.2193,NQC,NQC,1.1779,1.6068,NQC
PUTTALAM,,2.4946,2.2805,2.1698,2.0552,1.7175,1.9578,1.9381,1.6762,1.8496,1.6839,1.6873,NQC,1.6623,NQC,1.6574,1.6201,1.1835,0.4726,0.3803,0.6016,0.9017,0.5783,1.1472,NQC,1.4971,1.0350,1.6170,1.4391
,KURUNEGALA,2.4450,2.2114,2.1529,2.0517,1.8028,1.9594,1.8901,NQC,1.8596,1.8020,1.8038,NQC,1.7860,NQC,1.7427,1.7739,1.3325,0.6497,0.6270,0.6299,0.6898,0.6308,1.1517,1.5090,1.4671,1.3214,1.6216,1.4165
,ANURADHAPURA,2.5446,2.2347,2.1850,2.0651,1.7109,1.9552,NQC,1.5146,1.8506,1.6791,1.6969,1.5985,1.5063,NQC,1.4687,1.5009,1.2957,0.4627,0.4504,0.6045,0.7015,0.5884,1.0755,NQC,NQC,1.0521,NQC,1.4595
,POLONNARUWA,2.4695,2.2591,2.1774,2.1071,1.7355,NQC,1.9909,1.4283,1.9345,NQC,1.6921,1.3959,1.3714,NQC,1.3320,1.3170,1.2649,0.5278,0.3220,0.6089,NQC,0.5797,1.1110,NQC,NQC,0.9454,NQC,NQC
BADULLA,,2.5455,2.2159,2.1671,2.0619,1.7099,1.9626,NQC,NQC,1.8525,1.6845,1.6892,NQC,1.6678,NQC,1.6002,1.6644,1.3423,0.5294,0.5394,0.5930,0.7380,0.5809,1.1170,NQC,NQC,1.1412,1.6537,1.4312
,MONARAGALA,NQC,2.2410,NQC,2.1015,1.7277,1.9757,NQC,1.6018,1.8706,1.6825,1.6948,NQC,1.5849,NQC,1.5756,1.5776,1.2858,0.4781,0.4486,0.5756,0.7958,0.6198,1.2099,1.5401,1.4761,1.3009,NQC,1.4993
KEGALLE,,2.4552,2.2150,2.1465,2.0600,1.8226,1.9616,1.9286,1.8207,1.8510,1.7998,1.7702,NQC,1.7513,NQC,1.7214,1.7437,1.2670,0.6261,0.6326,0.5952,0.7120,0.5924,1.1986,1.5336,1.5023,1.2941,1.6180,1.4343
RATNAPURA,,2.4542,2.2112,2.1586,2.0526,1.7520,1.9571,1.8706,NQC,1.8509,1.7541,1.7803,1.8407,1.7434,1.7317,1.7202,1.7147,1.2033,0.5341,0.5334,0.5829,0.6883,0.5902,1.1127,1.5053,1.4642,1.2154,1.5955,1.4190
