OLOMBO,,-0.1884,0.8551,0.6632,0.5376,1.3018,1.3170,1.4437,,0.5485,0.5777,0.7413,0.8494,0.8917,1.2281,0.5384,0.5370,1.2854,0.7153,0.4851,1.2685,1.4101,0.5741,1.7916,1.9509
AMPAHA,,-0.7530,0.8391,0.6882,0.5532,1.5693,1.4184,1.4381,,0.5856,0.6726,0.7273,0.8468,0.9083,1.2471,0.5861,0.5625,1.1846,0.7197,0.5091,1.2538,1.3601,0.6009,1.7798,1.9400
ALUTARA,,-0.3062,0.8588,0.7368,0.4018,1.5179,1.3726,1.4432,,0.8142,0.7680,0.8642,0.9380,1.0705,1.2467,0.6069,0.6188,1.2606,0.7502,0.5867,1.2836,1.4323,0.6723,1.7798,1.9259
AATALE,,0.5104,NQC,0.7824,0.4505,1.5218,1.4645,1.4457,,0.7527,0.7257,0.6429,0.9858,0.8601,1.2430,0.6724,0.6035,1.3092,0.8219,0.6023,1.2644,1.5115,0.5582,1.7553,1.9103
KANDY,,-0.5743,0.9146,0.6672,0.7381,1.4592,1.4195,1.4530,0,8096,0.7283,0.8093,0.8327,0.9592,1.2494,0.5953,0.6159,1.2194,0.7291,0.5847,1.2644,1.4723,0.6124,1.7588,2.0072
,JUWARA ELIYA,0.4330,1.1030,1.0894,-0.3100,1.1876,1.4555,1.4527,,0.6879,0.7686,0.7087,0.6925,0.5418,1.1206,0.4334,0.4346,1.0913,0.5238,0.3760,1.2598,1.5522,0.4775,1.8890,1.9312
ALLE,,NQC,0.8627,0.6865,0.1814,1.3344,1.4395,1.4384,,0.8234,0.7902,0.8870,0.9558,1.0906,1.2645,0.6459,0.6662,1.2545,0.8012,0.5924,1.3126,1.4373,0.6795,1.7665,1.9102
AATARA,,0.1621,1.2009,0.8214,0.4293,1.2648,NQC,1.4684,,0.7875,0.7723,0.8585,0.9577,1.0776,1.2770,0.6701,0.6345,1.2693,0.7641,0.6020,1.2938,1.5183,0.6569,1.7598,1.9196
,IAMBANTOTA,-0.3248,1.0829,0.6952,0.2507,1.4845,1.3499,1.4956,,0.8346,0.7755,0.8963,0.9695,1.0951,1.1057,0.6494,0.6652,1.2654,0.7811,0.6085,1.2256,1.5221,0.6543,1.7827,NQC
AFFNA,,0.7122,NQC,NQC,-0.3480,1.3580,1.1544,NQC,,0.5905,0.7075,0.7102,0.9713,1.1189,0.7803,0.6557,0.6271,1.2459,0.8167,0.6052,0.8376,1.5936,0.6486,1.8646,1.9351
,ILINOCHCHI,NQC,1.1502,NQC,0.9333,0.3224,1.4279,NQC,,0.4538,0.4114,0.6769,0.8768,0.8339,1.0459,0.4201,0.6892,0.6355,0.8050,0.3673,0.7287,1.4479,0.4770,1.8774,2.0729
AANNAR,,0.2804,NQC,0.8277,NQC,1.4451,1.4990,NQC,,0.4403,0.2939,0.7586,0.8824,1.1309,1.0520,0.6189,0.2525,1.0465,0.5081,0.2913,1.2047,1.4857,0.2077,NQC,NQC
,AULLAITIVU,0.3150,0.9354,NQC,NQC,0.9655,NQC,1.4803,,0.3533,0.2891,0.2835,0.4364,0.5434,1.0752,0.4169,0.6090,0.9126,0.5518,0.3244,0.8884,1.1513,0.2664,NQC,NQC
TAVUNIYA,,NQC,NQC,NQC,NQC,1.0210,NQC,1.4549,,0.4802,0.2904,0.6147,0.9780,1.0911,1.0970,0.3547,0.2620,1.0865,0.6780,0.3906,1.2680,1.5280,0.4625,NQC,NQC
,"""RINCOMALEE",0.4270,0.9992,NQC,0.2434,1.2910,1.2201,NQC,,0.4761,0.6009,0.8682,0.9462,0.8372,1.1342,0.6344,0.5171,1.2952,0.7907,0.6093,1.1710,1.5847,0.4967,1.7613,2.2248
,ATTICALOA,0.2996,0.9427,NQC,-0.1692,1.5633,1.1673,NQC,,0.5988,0.6158,0.7257,0.9086,1.0657,0.9905,0.5569,0.5436,1.2347,0.7541,0.5462,0.9571,1.5599,0.5157,1.7827,1.9269
MPARA,,0.1651,1.2696,0.9496,0.4199,1.5559,1.3212,NQC,,0.5950,0.6398,0.5809,0.8652,1.0531,1.0282,0.5568,0.5831,1.2162,0.7111,0.5723,1.0670,1.5817,0.5370,NQC,2.1379
UTTALAM,,0.2763,0.8768,0.6881,0.7034,1.3925,13726,1.4579,,0.5939,0.5053,0.7556,0.7852,0.9228,1.1519,0.4438,0.4226,1.1711,0.6461,0.4686,1.1635,1.4694,0.4018,1.8230,2.0283
